a,first english alphbet
abandon,have been deserted or left
ability,possession of the means or skill to do something
boast,talk with excessive pride and self-satisfaction about one's achievements or abilities.
horse,an animal used for riding or carrying load
ice,frozen water, a brittle transparent crystalline solid
lion,an animal of cat family
mouth,eating organ or an enterance
moth,a flying insect
octa,greek for eight
orca,the largest members of the dolphin family and a highly intelligent species.
parrot,a green bird
shout,a loud cry expressing a strong emotion or calling attention
tiger,a brown carnivorous animal with stripes
watermelon,a red fruit
zoo,a plan where many kinds of animals are kept
